"","poverty_level","resource_type","date_posted","students_reached","total_price_excluding_optional_support","requests"
"102","highest poverty","Technology","2006",390510,3487444.31,3623
"103","low poverty","Technology","2006",12697,87129.12,85
"104","moderate poverty","Technology","2006",53607,465017.45,470
"105","high poverty","Trips","2006",7086,276574.86,162
"106","highest poverty","Trips","2006",39662,1265011.27,674
"107","low poverty","Trips","2006",578,30232.69,17
"108","moderate poverty","Trips","2006",2777,218067.37,66
"109","high poverty","Visitors","2006",5650,30623.45,35
"110","highest poverty","Visitors","2006",14677,119340.74,123
"111","low poverty","Visitors","2006",1545,5678.52,5
"112","moderate poverty","Visitors","2006",3448,17309.34,16
"113","high poverty","Books","2007",126455,668148.18,1629
"114","highest poverty","Books","2007",343088,2274342.82,5350
"115","low poverty","Books","2007",10546,57759.51,149
"116","moderate poverty","Books","2007",47823,265690.27,706
"117","high poverty","Other","2007",47165,292127.65,565
"118","highest poverty","Other","2007",155238,1003444.98,2107
"119","low poverty","Other","2007",4010,28801.56,65
"120","moderate poverty","Other","2007",22268,131682.09,306
"121","high poverty","Supplies","2007",240683,887708.37,2228
"122","highest poverty","Supplies","2007",683511,3291769.29,8000
"123","low poverty","Supplies","2007",17685,97422.63,235
"124","moderate poverty","Supplies","2007",109545,447408,1209
"125","high poverty","Technology","2007",203953,1433465.99,1866
"126","highest poverty","Technology","2007",529025,4557779.72,5460
"127","low poverty","Technology","2007",19558,164152.52,188
"128","moderate poverty","Technology","2007",98051,675628.91,988
"129","high poverty","Trips","2007",4582,170959.11,88
"130","highest poverty","Trips","2007",14137,671848.65,333
"131","low poverty","Trips","2007",160,5714.55,9
"132","moderate poverty","Trips","2007",1287,82775.54,29
"133","high poverty","Visitors","2007",3192,16133.42,17
"134","highest poverty","Visitors","2007",10008,49278.58,58
"135","low poverty","Visitors","2007",1115,2425,4
"136","moderate poverty","Visitors","2007",1799,13244,12
"137","high poverty","Books","2008",172714,946602.76,2569
"138","highest poverty","Books","2008",499655,2994450.38,7798
"139","low poverty","Books","2008",14239,74526.78,200
"140","moderate poverty","Books","2008",92018,477850.09,1272
"141","high poverty","Other","2008",72422,414795.51,1037
"142","highest poverty","Other","2008",218876,1275636.2,2949
"143","low poverty","Other","2008",6832,41023.59,96
"144","moderate poverty","Other","2008",39573,224408.81,534
"145","high poverty","Supplies","2008",349127,1486768.79,4125
"146","highest poverty","Supplies","2008",984687,4459714.96,11928
"147","low poverty","Supplies","2008",30827,139215.52,353
"148","moderate poverty","Supplies","2008",834565,688934.72,1885
"149","high poverty","Technology","2008",281404,1726005.94,3027
"150","highest poverty","Technology","2008",1726968,4766280.97,8074
"151","low poverty","Technology","2008",27892,170532.49,285
"152","moderate poverty","Technology","2008",157471,881657.56,1630
"153","high poverty","Trips","2008",1412,37534.7,36
"154","highest poverty","Trips","2008",6432,326419.5,155
"155","low poverty","Trips","2008",253,8241,7
"156","moderate poverty","Trips","2008",1012,98096.5,19
"157","high poverty","Visitors","2008",707,10148.94,10
"158","highest poverty","Visitors","2008",4285,29377.38,36
"159","low poverty","Visitors","2008",350,1367,2
"160","moderate poverty","Visitors","2008",1590,13329.15,7
"162","high poverty","Books","2009",304833,1394934.79,3646
"163","highest poverty","Books","2009",642631,3680836.05,9465
"164","low poverty","Books","2009",16275,102939.86,270
"165","moderate poverty","Books","2009",117827,579755.54,1563
"166","high poverty","Other","2009",109287,619021.12,1451
"167","highest poverty","Other","2009",251522,1464538.79,3446
"168","low poverty","Other","2009",5649,10287350.36,102
"169","moderate poverty","Other","2009",53624,241950.88,618
"170","high poverty","Supplies","2009",536229,2078033.98,5605
"171","highest poverty","Supplies","2009",1313258,5690762.18,14959
"172","low poverty","Supplies","2009",36206,192867.93,484
"173","moderate poverty","Supplies","2009",204822,879376.66,2462
"174","high poverty","Technology","2009",500014,3175141.92,5114
"175","highest poverty","Technology","2009",2100401,7134269.45,11321
"176","low poverty","Technology","2009",35645,239675.97,406
"177","moderate poverty","Technology","2009",209331,1370974.5,2298
"178","high poverty","Trips","2009",3740,118798.24,51
"179","highest poverty","Trips","2009",8685,349515.5,195
"180","low poverty","Trips","2009",59,5750.07,4
"181","moderate poverty","Trips","2009",1721,55874.45,26
"182","high poverty","Visitors","2009",1809,9128.4,11
"183","highest poverty","Visitors","2009",28281,68045.09,36
"184","low poverty","Visitors","2009",99,1490.48,5
"185","moderate poverty","Visitors","2009",1001,5610.19,8
"186","high poverty","Books","2010",0,1841773.44,4687
"187","highest poverty","Books","2010",0,5079566.32,12779
"188","low poverty","Books","2010",43948,170518.61,443
"189","moderate poverty","Books","2010",255129,896323.38,2343
"190","high poverty","Other","2010",203262,933774.29,2297
"191","highest poverty","Other","2010",0,2467445.81,5924
"192","low poverty","Other","2010",18698,101766.74,216
"193","moderate poverty","Other","2010",109558,521574.13,1278
"194","high poverty","Supplies","2010",0,2731922.47,6764
"195","highest poverty","Supplies","2010",0,7499091.96,18684
"196","low poverty","Supplies","2010",72290,294202.07,686
"197","moderate poverty","Supplies","2010",0,1412804.91,3632
"198","high poverty","Technology","2010",0,4251795.69,6583
"199","highest poverty","Technology","2010",0,9873978.19,15094
"200","low poverty","Technology","2010",115912,640885.64,942
"201","moderate poverty","Technology","2010",0,2320170.98,3742
"202","high poverty","Trips","2010",2812,132811.27,50
"203","highest poverty","Trips","2010",10816,519299.24,221
"204","low poverty","Trips","2010",844,48984.33,13
"205","moderate poverty","Trips","2010",1292,37993.58,20
"206","high poverty","Visitors","2010",514,8213.32,12
"207","highest poverty","Visitors","2010",5063,38508.97,34
"208","moderate poverty","Visitors","2010",953,6503.3,5
"212","high poverty","Books","2011",462145,2274225.32,5419
"213","highest poverty","Books","2011",1092848,5987221.32,14048
"214","low poverty","Books","2011",44153,281585.26,570
"215","moderate poverty","Books","2011",213592,1075981.67,2645
"216","high poverty","Other","2011",277464,1304187.33,3086
"217","highest poverty","Other","2011",587740,3066253.85,7156
"218","low poverty","Other","2011",29706,141555.21,319
"219","moderate poverty","Other","2011",134951,683430.55,1619
"220","high poverty","Supplies","2011",0,3501794.66,8637
"221","highest poverty","Supplies","2011",0,8760981.81,21629
"222","low poverty","Supplies","2011",96346,428288.79,973
"223","moderate poverty","Supplies","2011",450665,1920761.99,4655
"224","high poverty","Technology","2011",907277,4858261.26,8614
"225","highest poverty","Technology","2011",1724260,10776029.47,17984
"226","low poverty","Technology","2011",112515,710246.29,1140
"227","moderate poverty","Technology","2011",0,3022035.87,5295
"228","high poverty","Trips","2011",5260,232820.29,89
"229","highest poverty","Trips","2011",12439,643618.25,224
"230","low poverty","Trips","2011",204,28869.3,7
"231","moderate poverty","Trips","2011",1275,33799.55,20
"232","high poverty","Visitors","2011",3786,15099.32,19
"233","highest poverty","Visitors","2011",7291,61244.49,35
"234","low poverty","Visitors","2011",100,1557.5,1
"235","moderate poverty","Visitors","2011",1257,12502.17,5
"238","high poverty","Books","2012",482447,2521605.03,6149
"239","highest poverty","Books","2012",0,5884305.18,14369
"240","low poverty","Books","2012",47316,270721.18,609
"241","moderate poverty","Books","2012",234819,1179866.84,2853
"242","high poverty","Other","2012",318714,1568551.81,3425
"243","highest poverty","Other","2012",649330,3343476.07,7353
"244","low poverty","Other","2012",38426,164765.93,354
"245","moderate poverty","Other","2012",0,811565.38,1815
"246","high poverty","Supplies","2012",1073070,4325734.57,10096
"247","highest poverty","Supplies","2012",2257393,9605808.38,22257
"248","low poverty","Supplies","2012",102126,472776.88,1007
"249","moderate poverty","Supplies","2012",530184,2188304.63,5008
"250","high poverty","Technology","2012",1153762,7315629.27,11973
"251","highest poverty","Technology","2012",1913278,13116024.78,21156
"252","low poverty","Technology","2012",0,1262055.71,1755
"253","moderate poverty","Technology","2012",636282,4184551.75,6455
"254","high poverty","Trips","2012",46373,516738.98,181
"255","highest poverty","Trips","2012",111311,1579119.98,590
"256","low poverty","Trips","2012",3799,42545.48,23
"257","moderate poverty","Trips","2012",22366,229053.37,76
"258","high poverty","Visitors","2012",6527,32855.09,33
"259","highest poverty","Visitors","2012",12470,75178.92,69
"260","low poverty","Visitors","2012",596,4747.95,5
"261","moderate poverty","Visitors","2012",1562,17050.6,12
"265","high poverty","Books","2013",0,2629119.05,5951
"266","highest poverty","Books","2013",0,6578902.97,14840
"267","low poverty","Books","2013",0,289859.67,586
"268","moderate poverty","Books","2013",0,1573399.98,3278
"269","high poverty","Other","2013",0,1987101.51,3628
"270","highest poverty","Other","2013",0,3949500.95,8338
"271","low poverty","Other","2013",31019,172298.85,338
"272","moderate poverty","Other","2013",0,1067667.25,2071
"273","high poverty","Supplies","2013",0,4889265.04,10086
"274","highest poverty","Supplies","2013",0,11392242.62,24892
"275","low poverty","Supplies","2013",0,481605.32,904
"276","moderate poverty","Supplies","2013",0,2973631.1,5589
"277","high poverty","Technology","2013",0,10025221.49,13177
"278","highest poverty","Technology","2013",0,18351159.05,25767
"279","low poverty","Technology","2013",0,1627015.82,1816
"280","moderate poverty","Technology","2013",0,7382586.91,9353
"281","high poverty","Trips","2013",7176,295229.26,110
"282","highest poverty","Trips","2013",19812,1063604.09,371
"283","low poverty","Trips","2013",113,20262.78,4
"284","moderate poverty","Trips","2013",2227,165669.4,47
"285","high poverty","Visitors","2013",6251,41006.27,34
"286","highest poverty","Visitors","2013",19051,105871.66,96
"287","low poverty","Visitors","2013",83,131.5,1
"288","moderate poverty","Visitors","2013",2742,35482.05,21
"293","high poverty","Books","2014",619335,3403847.34,7196
"294","highest poverty","Books","2014",1366543,8993710.72,18000
"295","low poverty","Books","2014",41925,333645.37,589
"296","moderate poverty","Books","2014",349339,1857329.83,3909
"297","high poverty","Other","2014",463475,2684008.61,4891
"298","highest poverty","Other","2014",1008660,6229425.45,11234
"299","low poverty","Other","2014",34232,249551.61,368
"300","moderate poverty","Other","2014",255915,1569020.07,2684
"301","high poverty","Supplies","2014",1394606,6712278.96,13067
"302","highest poverty","Supplies","2014",0,17899887.46,34153
"303","low poverty","Supplies","2014",133556,668958.69,1090
"304","moderate poverty","Supplies","2014",757483,3972653.19,7210
"305","high poverty","Technology","2014",1588596,15916036.25,16748
"306","highest poverty","Technology","2014",2980406,30936581.22,32584
"307","low poverty","Technology","2014",220841,2523809.04,2116
"308","moderate poverty","Technology","2014",1153926,12716217.78,12142
"309","high poverty","Trips","2014",29470,736623.77,453
"310","highest poverty","Trips","2014",62709,2560814.07,1186
"311","low poverty","Trips","2014",925,38343.73,31
"312","moderate poverty","Trips","2014",14142,332935.3,238
"313","high poverty","Visitors","2014",27539,163970.98,112
"314","highest poverty","Visitors","2014",45745,294108.63,250
"315","low poverty","Visitors","2014",1771,7628.38,9
"316","moderate poverty","Visitors","2014",13144,76459.85,61
"319","high poverty","Books","2015",628487,3521850.68,7356
"320","highest poverty","Books","2015",1444399,8903212.37,17854
"321","low poverty","Books","2015",61598,459608.47,830
"322","moderate poverty","Books","2015",318963,1837759.77,3856
"323","high poverty","Other","2015",587762,3836839.26,6476
"324","highest poverty","Other","2015",1333503,8532092.91,14349
"325","low poverty","Other","2015",53718,474726.98,699
"326","moderate poverty","Other","2015",324387,2239622.23,3628
"327","high poverty","Supplies","2015",1703006,8528923.97,15887
"328","highest poverty","Supplies","2015",3820712,20737003.76,38695
"329","low poverty","Supplies","2015",183277,990990.28,1686
"330","moderate poverty","Supplies","2015",854814,4830310.11,8354
"331","high poverty","Technology","2015",1769007,16633573.44,18300
"332","highest poverty","Technology","2015",3114227,31870444.66,34875
"333","low poverty","Technology","2015",251085,2361516.41,2374
"334","moderate poverty","Technology","2015",1142213,11112403.24,12064
"335","high poverty","Trips","2015",116464,1816040.71,1026
"336","highest poverty","Trips","2015",270272,5299040.81,2757
"337","low poverty","Trips","2015",10371,134839.91,84
"338","moderate poverty","Trips","2015",75978,1050195.06,641
"339","high poverty","Visitors","2015",30359,179591.61,154
"340","highest poverty","Visitors","2015",57195,411852.71,308
"341","low poverty","Visitors","2015",3412,16813.37,16
"342","moderate poverty","Visitors","2015",20996,169947.37,99
"343","high poverty","Books","2016",584211,3300968.52,7117
"344","highest poverty","Books","2016",1336969,8683670.19,17903
"345","low poverty","Books","2016",65536,516160.45,970
"346","moderate poverty","Books","2016",323694,1745614.88,3773
"347","high poverty","Other","2016",279220,2013319.44,3409
"348","highest poverty","Other","2016",620072,4340134.78,7067
"349","low poverty","Other","2016",23435,218966.31,355
"350","moderate poverty","Other","2016",161843,1233566.05,1944
"351","high poverty","Supplies","2016",2632385,15923250.9,28121
"352","highest poverty","Supplies","2016",5747225,35360745.45,63830
"353","low poverty","Supplies","2016",384287,2202992.12,3771
"354","moderate poverty","Supplies","2016",1416435,8936115.24,15684
"355","high poverty","Technology","2016",1728321,14921570.58,17181
"356","highest poverty","Technology","2016",3094412,29924769.29,34072
"357","low poverty","Technology","2016",232947,2113323.28,2399
"358","moderate poverty","Technology","2016",1017060,8760188.4,10182
"359","high poverty","Trips","2016",61586,1074972.47,752
"360","highest poverty","Trips","2016",125334,3021132.48,1831
"361","low poverty","Trips","2016",5607,76751.5,63
"362","moderate poverty","Trips","2016",34313,765777.52,354
"363","high poverty","Visitors","2016",23920,203418.12,128
"364","highest poverty","Visitors","2016",47495,425465.59,273
"365","low poverty","Visitors","2016",2684,20701.37,18
"366","moderate poverty","Visitors","2016",11875,77299.61,64
