"","poverty_level","primary_focus_area","date_completed","total_price_excluding_optional_support","students_reached"
"115","highest poverty","Applied Learning","2003-07",871.49,0
"116","low poverty","Applied Learning","2003-07",784,0
"117","highest poverty","History & Civics","2003-07",441.78,0
"118","highest poverty","Literacy & Language","2003-07",4900.49,0
"119","moderate poverty","Literacy & Language","2003-07",1740.53,0
"120","highest poverty","Math & Science","2003-07",1970.58,0
"121","moderate poverty","Math & Science","2003-07",359,0
"122","highest poverty","Music & The Arts","2003-07",4779.95,0
"123","moderate poverty","Music & The Arts","2003-07",162.98,0
"124","high poverty","Applied Learning","2003-08",855.88,0
"125","highest poverty","Applied Learning","2003-08",11292.89,0
"126","low poverty","Applied Learning","2003-08",1189.31,0
"127","moderate poverty","Applied Learning","2003-08",473.86,0
"128","highest poverty","Health & Sports","2003-08",523.37,0
"129","high poverty","History & Civics","2003-08",809.96,20
"130","highest poverty","History & Civics","2003-08",11002.75,20
"131","moderate poverty","History & Civics","2003-08",541.2,0
"132","high poverty","Literacy & Language","2003-08",1249.23,0
"133","highest poverty","Literacy & Language","2003-08",46210.16,0
"134","low poverty","Literacy & Language","2003-08",1091,0
"135","moderate poverty","Literacy & Language","2003-08",3245.5,0
"136","highest poverty","Math & Science","2003-08",17255.61,0
"137","moderate poverty","Math & Science","2003-08",374.64,0
"138","highest poverty","Music & The Arts","2003-08",23187.17,0
"139","low poverty","Music & The Arts","2003-08",461.25,0
"140","moderate poverty","Music & The Arts","2003-08",226.53,0
"141","highest poverty","Applied Learning","2003-09",30057.56,20
"142","low poverty","Applied Learning","2003-09",1715.87,0
"143","moderate poverty","Applied Learning","2003-09",1475.07,0
"144","highest poverty","Health & Sports","2003-09",2794.82,0
"145","low poverty","Health & Sports","2003-09",434.6,0
"146","highest poverty","History & Civics","2003-09",8195.89,0
"147","low poverty","History & Civics","2003-09",264.96,0
"148","moderate poverty","History & Civics","2003-09",240.36,0
"149","high poverty","Literacy & Language","2003-09",522.76,0
"150","highest poverty","Literacy & Language","2003-09",35951.71,40
"151","moderate poverty","Literacy & Language","2003-09",2786.4,0
"152","highest poverty","Math & Science","2003-09",10931.63,0
"153","low poverty","Math & Science","2003-09",685,0
"154","moderate poverty","Math & Science","2003-09",376.69,0
"155","high poverty","Music & The Arts","2003-09",1274,20
"156","highest poverty","Music & The Arts","2003-09",11885.11,20
"157","low poverty","Music & The Arts","2003-09",909.83,0
"158","moderate poverty","Music & The Arts","2003-09",726.14,0
"159","highest poverty","Applied Learning","2003-10",3453.51,20
"160","moderate poverty","Applied Learning","2003-10",345.02,0
"161","highest poverty","History & Civics","2003-10",323.8,0
"162","high poverty","Literacy & Language","2003-10",297.76,20
"163","highest poverty","Literacy & Language","2003-10",2560.07,20
"164","moderate poverty","Literacy & Language","2003-10",150.68,0
"165","highest poverty","Math & Science","2003-10",77.9,0
"166","moderate poverty","Math & Science","2003-10",155.7,0
"167","highest poverty","Music & The Arts","2003-10",592.1,0
"168","high poverty","Applied Learning","2003-11",323.4,20
"169","highest poverty","Applied Learning","2003-11",28333.24,20
"170","low poverty","Applied Learning","2003-11",3020.57,0
"171","moderate poverty","Applied Learning","2003-11",683.38,0
"172","highest poverty","Health & Sports","2003-11",2028.27,0
"173","high poverty","History & Civics","2003-11",390.25,20
"174","highest poverty","History & Civics","2003-11",5462.27,20
"175","moderate poverty","History & Civics","2003-11",86.87,0
"176","high poverty","Literacy & Language","2003-11",511.48,0
"177","highest poverty","Literacy & Language","2003-11",20153.77,40
"178","low poverty","Literacy & Language","2003-11",1242.35,0
"179","moderate poverty","Literacy & Language","2003-11",1390.77,0
"180","highest poverty","Math & Science","2003-11",7153.5,0
"181","moderate poverty","Math & Science","2003-11",170.15,0
"182","high poverty","Music & The Arts","2003-11",252.15,20
"183","highest poverty","Music & The Arts","2003-11",5982.31,20
"184","low poverty","Music & The Arts","2003-11",2499.04,0
"185","moderate poverty","Music & The Arts","2003-11",420.25,0
"186","highest poverty","Applied Learning","2003-12",11832.74,0
"187","low poverty","Applied Learning","2003-12",2075.44,0
"188","moderate poverty","Applied Learning","2003-12",2672.22,0
"189","highest poverty","Health & Sports","2003-12",817.76,0
"190","high poverty","History & Civics","2003-12",177.33,20
"191","highest poverty","History & Civics","2003-12",9380.38,120
"192","moderate poverty","History & Civics","2003-12",274.82,0
"193","high poverty","Literacy & Language","2003-12",1990.55,0
"194","highest poverty","Literacy & Language","2003-12",77921.64,60
"195","moderate poverty","Literacy & Language","2003-12",1670.6,0
"196","highest poverty","Math & Science","2003-12",30745.16,20
"197","low poverty","Math & Science","2003-12",892.78,0
"198","moderate poverty","Math & Science","2003-12",1495.31,0
"199","high poverty","Music & The Arts","2003-12",851.43,20
"200","highest poverty","Music & The Arts","2003-12",24875.39,20
"201","low poverty","Music & The Arts","2003-12",820,0
"202","moderate poverty","Music & The Arts","2003-12",7607.86,40
"203","high poverty","Applied Learning","2004-01",503.75,0
"204","highest poverty","Applied Learning","2004-01",12409.78,0
"205","low poverty","Applied Learning","2004-01",391.55,0
"206","moderate poverty","Applied Learning","2004-01",959.1,0
"207","highest poverty","Health & Sports","2004-01",3350.78,0
"208","high poverty","History & Civics","2004-01",502.25,0
"209","highest poverty","History & Civics","2004-01",9526.85,0
"210","high poverty","Literacy & Language","2004-01",1127,0
"211","highest poverty","Literacy & Language","2004-01",38268.13,80
"212","low poverty","Literacy & Language","2004-01",515.37,0
"213","moderate poverty","Literacy & Language","2004-01",3298.34,0
"214","high poverty","Math & Science","2004-01",150,20
"215","highest poverty","Math & Science","2004-01",15398,0
"216","low poverty","Math & Science","2004-01",923.63,0
"217","moderate poverty","Math & Science","2004-01",175.28,0
"218","highest poverty","Music & The Arts","2004-01",16744.34,20
"219","moderate poverty","Music & The Arts","2004-01",362.03,0
"220","high poverty","Applied Learning","2004-02",803.2,158
"221","highest poverty","Applied Learning","2004-02",10229.36,249
"222","moderate poverty","Applied Learning","2004-02",926.33,0
"223","highest poverty","Health & Sports","2004-02",3472.12,325
"224","high poverty","History & Civics","2004-02",677.32,22
"225","highest poverty","History & Civics","2004-02",4204.08,505
"226","moderate poverty","History & Civics","2004-02",128.64,16
"227","high poverty","Literacy & Language","2004-02",2831.78,566
"228","highest poverty","Literacy & Language","2004-02",18255.54,622
"229","low poverty","Literacy & Language","2004-02",222.43,135
"230","moderate poverty","Literacy & Language","2004-02",1841.56,119
"231","high poverty","Math & Science","2004-02",1411.3,317
"232","highest poverty","Math & Science","2004-02",14432.83,428
"233","low poverty","Math & Science","2004-02",314.68,240
"234","moderate poverty","Math & Science","2004-02",332.1,0
"235","high poverty","Music & The Arts","2004-02",684.45,80
"236","highest poverty","Music & The Arts","2004-02",24813.75,228
"237","low poverty","Music & The Arts","2004-02",2038.62,0
"238","high poverty","Applied Learning","2004-03",1161.05,166
"239","highest poverty","Applied Learning","2004-03",5389.89,802
"240","low poverty","Applied Learning","2004-03",3000,0
"241","moderate poverty","Applied Learning","2004-03",2094.71,377
"242","highest poverty","Health & Sports","2004-03",3594.26,2646
"243","high poverty","History & Civics","2004-03",358.75,47
"244","highest poverty","History & Civics","2004-03",5859.63,393
"245","low poverty","History & Civics","2004-03",305,0
"246","high poverty","Literacy & Language","2004-03",3258.16,624
"247","highest poverty","Literacy & Language","2004-03",30082.4,3230
"248","low poverty","Literacy & Language","2004-03",1634.63,25
"249","moderate poverty","Literacy & Language","2004-03",2610.08,280
"250","high poverty","Math & Science","2004-03",2879.5,521
"251","highest poverty","Math & Science","2004-03",19503.2,2046
"252","low poverty","Math & Science","2004-03",317.75,400
"253","moderate poverty","Math & Science","2004-03",712.73,160
"254","high poverty","Music & The Arts","2004-03",2284.99,1213
"255","highest poverty","Music & The Arts","2004-03",5970.16,1752
"256","low poverty","Music & The Arts","2004-03",625.25,0
"257","moderate poverty","Music & The Arts","2004-03",1007.38,114
"258","high poverty","Applied Learning","2004-04",1602.24,158
"259","highest poverty","Applied Learning","2004-04",23604.52,991
"260","moderate poverty","Applied Learning","2004-04",733.86,77
"261","highest poverty","Health & Sports","2004-04",8889.93,1401
"262","high poverty","History & Civics","2004-04",1202.43,120
"263","highest poverty","History & Civics","2004-04",5085.8,238
"264","high poverty","Literacy & Language","2004-04",4582.53,1182
"265","highest poverty","Literacy & Language","2004-04",36472.9,4492
"266","low poverty","Literacy & Language","2004-04",854.45,55
"267","moderate poverty","Literacy & Language","2004-04",3433.57,299
"268","high poverty","Math & Science","2004-04",4856.38,815
"269","highest poverty","Math & Science","2004-04",19387.95,1838
"270","moderate poverty","Math & Science","2004-04",3841.41,1024
"271","high poverty","Music & The Arts","2004-04",1045.86,840
"272","highest poverty","Music & The Arts","2004-04",16044.42,1445
"273","moderate poverty","Music & The Arts","2004-04",1700.35,600
"274","high poverty","Applied Learning","2004-05",1816.2,151
"275","highest poverty","Applied Learning","2004-05",21569.5,1492
"276","moderate poverty","Applied Learning","2004-05",727.44,78
"277","high poverty","Health & Sports","2004-05",793.86,50
"278","highest poverty","Health & Sports","2004-05",4232.18,231
"279","moderate poverty","Health & Sports","2004-05",458.18,100
"280","high poverty","History & Civics","2004-05",222,60
"281","highest poverty","History & Civics","2004-05",5559.86,479
"282","moderate poverty","History & Civics","2004-05",419.28,47
"283","high poverty","Literacy & Language","2004-05",4882.19,593
"284","highest poverty","Literacy & Language","2004-05",30717.28,3983
"285","low poverty","Literacy & Language","2004-05",1035.13,20
"286","moderate poverty","Literacy & Language","2004-05",2860.35,1095
"287","high poverty","Math & Science","2004-05",650.78,135
"288","highest poverty","Math & Science","2004-05",17529.39,3039
"289","moderate poverty","Math & Science","2004-05",1038.69,198
"290","high poverty","Music & The Arts","2004-05",1432.65,1080
"291","highest poverty","Music & The Arts","2004-05",15268.77,1113
"292","moderate poverty","Music & The Arts","2004-05",2225.1,536
"293","high poverty","Applied Learning","2004-06",1849.01,146
"294","highest poverty","Applied Learning","2004-06",11049.61,1448
"295","low poverty","Applied Learning","2004-06",1620,0
"296","moderate poverty","Applied Learning","2004-06",420.25,23
"297","high poverty","Health & Sports","2004-06",805.91,160
"298","highest poverty","Health & Sports","2004-06",13874.19,818
"299","moderate poverty","Health & Sports","2004-06",28.7,4
"300","highest poverty","History & Civics","2004-06",8838.47,867
"301","moderate poverty","History & Civics","2004-06",418.21,105
"302","high poverty","Literacy & Language","2004-06",4380.76,340
"303","highest poverty","Literacy & Language","2004-06",27309.28,4835
"304","low poverty","Literacy & Language","2004-06",2450.27,120
"305","moderate poverty","Literacy & Language","2004-06",1512.53,174
"306","high poverty","Math & Science","2004-06",963.61,103
"307","highest poverty","Math & Science","2004-06",19492.6,1684
"308","low poverty","Math & Science","2004-06",1242.71,50
"309","moderate poverty","Math & Science","2004-06",194.75,225
"310","high poverty","Music & The Arts","2004-06",1937.25,20
"311","highest poverty","Music & The Arts","2004-06",5870.43,634
"312","low poverty","Music & The Arts","2004-06",1252.76,0
"313","moderate poverty","Music & The Arts","2004-06",275.94,60
"314","highest poverty","Applied Learning","2004-07",6189.34,949
"315","low poverty","Applied Learning","2004-07",0,0
"316","moderate poverty","Applied Learning","2004-07",766.51,145
"317","high poverty","Health & Sports","2004-07",1805.5,50
"318","highest poverty","Health & Sports","2004-07",1212.74,364
"319","moderate poverty","Health & Sports","2004-07",597.27,120
"320","highest poverty","History & Civics","2004-07",6239.78,555
"321","moderate poverty","History & Civics","2004-07",388.6,48
"322","high poverty","Literacy & Language","2004-07",6762.45,883
"323","highest poverty","Literacy & Language","2004-07",40536.6,2781
"324","low poverty","Literacy & Language","2004-07",2970.05,40
"325","moderate poverty","Literacy & Language","2004-07",6349.73,384
"326","high poverty","Math & Science","2004-07",2635.69,589
"327","highest poverty","Math & Science","2004-07",36971.39,2837
"328","moderate poverty","Math & Science","2004-07",1017.11,257
"329","high poverty","Music & The Arts","2004-07",4969.07,3751
"330","highest poverty","Music & The Arts","2004-07",8267.01,1125
"331","low poverty","Music & The Arts","2004-07",1599,18
"332","moderate poverty","Music & The Arts","2004-07",689.4,65
"333","high poverty","Applied Learning","2004-08",207.9,24
"334","highest poverty","Applied Learning","2004-08",4316.5,538
"335","highest poverty","Health & Sports","2004-08",526.65,550
"336","high poverty","History & Civics","2004-08",1267.95,115
"337","highest poverty","History & Civics","2004-08",2931.5,209
"338","moderate poverty","History & Civics","2004-08",86,130
"339","high poverty","Literacy & Language","2004-08",2972.64,1234
"340","highest poverty","Literacy & Language","2004-08",20745.76,3327
"341","low poverty","Literacy & Language","2004-08",2644.11,90
"342","moderate poverty","Literacy & Language","2004-08",4668.69,223
"343","high poverty","Math & Science","2004-08",1029.61,33
"344","highest poverty","Math & Science","2004-08",10872.02,1965
"345","moderate poverty","Math & Science","2004-08",345.67,62
"346","high poverty","Music & The Arts","2004-08",566.25,1140
"347","highest poverty","Music & The Arts","2004-08",4873.27,799
"348","moderate poverty","Music & The Arts","2004-08",98.66,22
"349","high poverty","Applied Learning","2004-09",4852.31,260
"350","highest poverty","Applied Learning","2004-09",4184.59,567
"351","moderate poverty","Applied Learning","2004-09",142.17,15
"352","high poverty","Health & Sports","2004-09",212.07,500
"353","highest poverty","Health & Sports","2004-09",479.39,232
"354","high poverty","History & Civics","2004-09",2076.56,157
"355","highest poverty","History & Civics","2004-09",3096.49,1162
"356","low poverty","History & Civics","2004-09",84.7,20
"357","moderate poverty","History & Civics","2004-09",712.79,20
"358","high poverty","Literacy & Language","2004-09",188.5,60
"359","highest poverty","Literacy & Language","2004-09",17253.51,3129
"360","moderate poverty","Literacy & Language","2004-09",1209.99,242
"361","high poverty","Math & Science","2004-09",3350.26,175
"362","highest poverty","Math & Science","2004-09",9425.57,1702
"363","moderate poverty","Math & Science","2004-09",1114.7,40
"364","high poverty","Music & The Arts","2004-09",408.21,60
"365","highest poverty","Music & The Arts","2004-09",10676.84,2083
"366","moderate poverty","Music & The Arts","2004-09",159.95,21
"367","high poverty","Applied Learning","2004-10",455.46,45
"368","highest poverty","Applied Learning","2004-10",4900.58,477
"369","moderate poverty","Applied Learning","2004-10",798.73,75
"370","highest poverty","Health & Sports","2004-10",1044.17,96
"371","high poverty","History & Civics","2004-10",597.22,150
"372","highest poverty","History & Civics","2004-10",4379.86,496
"373","high poverty","Literacy & Language","2004-10",1540.07,318
"374","highest poverty","Literacy & Language","2004-10",14403.86,1482
"375","low poverty","Literacy & Language","2004-10",522.75,25
"376","moderate poverty","Literacy & Language","2004-10",1869.26,340
"377","high poverty","Math & Science","2004-10",664.56,218
"378","highest poverty","Math & Science","2004-10",9051.03,1101
"379","moderate poverty","Math & Science","2004-10",741.33,184
"380","high poverty","Music & The Arts","2004-10",591.38,770
"381","highest poverty","Music & The Arts","2004-10",3428.14,1653
"382","moderate poverty","Music & The Arts","2004-10",206.03,20
"383","highest poverty","Special Needs","2004-10",123,25
"384","high poverty","Applied Learning","2004-11",429.48,351
"385","highest poverty","Applied Learning","2004-11",13032.24,2593
"386","moderate poverty","Applied Learning","2004-11",1252.9,138
"387","high poverty","Health & Sports","2004-11",531.98,54
"388","highest poverty","Health & Sports","2004-11",2024.49,917
"389","moderate poverty","Health & Sports","2004-11",319.19,540
"390","high poverty","History & Civics","2004-11",700.95,180
"391","highest poverty","History & Civics","2004-11",6309,996
"392","moderate poverty","History & Civics","2004-11",215.25,180
"393","high poverty","Literacy & Language","2004-11",2891.1,857
"394","highest poverty","Literacy & Language","2004-11",33829.3,6144
"395","low poverty","Literacy & Language","2004-11",1096.75,120
"396","moderate poverty","Literacy & Language","2004-11",724.68,432
"397","high poverty","Math & Science","2004-11",2223.78,283
"398","highest poverty","Math & Science","2004-11",17956.58,4340
"399","moderate poverty","Math & Science","2004-11",770.6,215
"400","high poverty","Music & The Arts","2004-11",3462.31,1170
"401","highest poverty","Music & The Arts","2004-11",26931.65,7250
"402","low poverty","Music & The Arts","2004-11",2496.84,410
"403","moderate poverty","Music & The Arts","2004-11",3939.81,1408
"404","highest poverty","Special Needs","2004-11",379.25,54
"405","moderate poverty","Special Needs","2004-11",314.68,9
"406","high poverty","Applied Learning","2004-12",4811.99,1661
"407","highest poverty","Applied Learning","2004-12",27301.87,5298
"408","moderate poverty","Applied Learning","2004-12",493.04,261
"409","high poverty","Health & Sports","2004-12",1380.69,827
"410","highest poverty","Health & Sports","2004-12",10740.43,2292
"411","high poverty","History & Civics","2004-12",2534.83,52
"412","highest poverty","History & Civics","2004-12",10936.91,1623
"413","moderate poverty","History & Civics","2004-12",370.03,103
"414","high poverty","Literacy & Language","2004-12",7735.9,5019
"415","highest poverty","Literacy & Language","2004-12",68775.4,6818
"416","low poverty","Literacy & Language","2004-12",1945.97,145
"417","moderate poverty","Literacy & Language","2004-12",4532.55,1063
"418","high poverty","Math & Science","2004-12",5137.03,2180
"419","highest poverty","Math & Science","2004-12",41444.82,7667
"420","low poverty","Math & Science","2004-12",660.1,130
"421","moderate poverty","Math & Science","2004-12",8435.19,1315
"422","high poverty","Music & The Arts","2004-12",4963.63,4914
"423","highest poverty","Music & The Arts","2004-12",44329.3,7263
"424","low poverty","Music & The Arts","2004-12",3477.64,749
"425","moderate poverty","Music & The Arts","2004-12",3745.36,617
"426","high poverty","Special Needs","2004-12",1712.79,58
"427","highest poverty","Special Needs","2004-12",2925,183
"428","moderate poverty","Special Needs","2004-12",141.45,13
"429","high poverty","Applied Learning","2005-01",426.4,30
"430","highest poverty","Applied Learning","2005-01",25289.95,2305
"431","moderate poverty","Applied Learning","2005-01",1575.44,652
"432","high poverty","Health & Sports","2005-01",511.48,630
"433","highest poverty","Health & Sports","2005-01",9347.08,1204
"434","moderate poverty","Health & Sports","2005-01",229.6,100
"435","high poverty","History & Civics","2005-01",2840.27,345
"436","highest poverty","History & Civics","2005-01",19272.73,3861
"437","low poverty","History & Civics","2005-01",540.17,22
"438","moderate poverty","History & Civics","2005-01",1818.93,453
"439","high poverty","Literacy & Language","2005-01",9098.13,2941
"440","highest poverty","Literacy & Language","2005-01",54564.09,6635
"441","low poverty","Literacy & Language","2005-01",2166.1,65
"442","moderate poverty","Literacy & Language","2005-01",5767.75,1125
"443","high poverty","Math & Science","2005-01",5980,1601
"444","highest poverty","Math & Science","2005-01",48091.27,5251
"445","low poverty","Math & Science","2005-01",1117.25,119
"446","moderate poverty","Math & Science","2005-01",6854.72,929
"447","high poverty","Music & The Arts","2005-01",4423.97,1816
"448","highest poverty","Music & The Arts","2005-01",43275.87,7545
"449","low poverty","Music & The Arts","2005-01",3346.63,1070
"450","moderate poverty","Music & The Arts","2005-01",1714.38,341
"451","high poverty","Special Needs","2005-01",612.96,18
"452","highest poverty","Special Needs","2005-01",1712.78,79
"453","high poverty","Applied Learning","2005-02",1541.46,342
"454","highest poverty","Applied Learning","2005-02",6718.43,1069
"455","moderate poverty","Applied Learning","2005-02",1113.68,79
"456","highest poverty","Health & Sports","2005-02",1642.05,240
"457","moderate poverty","Health & Sports","2005-02",426.4,15
"458","high poverty","History & Civics","2005-02",1256.66,343
"459","highest poverty","History & Civics","2005-02",8031.51,1968
"460","low poverty","History & Civics","2005-02",986.31,45
"461","moderate poverty","History & Civics","2005-02",727.76,394
"462","high poverty","Literacy & Language","2005-02",3718.52,364
"463","highest poverty","Literacy & Language","2005-02",20810.94,3077
"464","moderate poverty","Literacy & Language","2005-02",5431.52,594
"465","high poverty","Math & Science","2005-02",2984.33,498
"466","highest poverty","Math & Science","2005-02",26503.26,5229
"467","low poverty","Math & Science","2005-02",900.98,100
"468","moderate poverty","Math & Science","2005-02",3348.48,514
"469","high poverty","Music & The Arts","2005-02",171.18,13
"470","highest poverty","Music & The Arts","2005-02",24792.67,1045
"471","low poverty","Music & The Arts","2005-02",499.18,300
"472","moderate poverty","Music & The Arts","2005-02",382.33,643
"473","high poverty","Special Needs","2005-02",127.1,14
"474","highest poverty","Special Needs","2005-02",2332.91,180
"475","high poverty","Applied Learning","2005-03",4215.3,1426
"476","highest poverty","Applied Learning","2005-03",29209.84,4730
"477","low poverty","Applied Learning","2005-03",362.85,370
"478","moderate poverty","Applied Learning","2005-03",894.83,267
"479","high poverty","Health & Sports","2005-03",2047.97,1619
"480","highest poverty","Health & Sports","2005-03",10567.55,3108
"481","low poverty","Health & Sports","2005-03",2780.83,400
"482","moderate poverty","Health & Sports","2005-03",1314.05,55
"483","high poverty","History & Civics","2005-03",641.65,514
"484","highest poverty","History & Civics","2005-03",22064.2,3023
"485","low poverty","History & Civics","2005-03",513.53,35
"486","high poverty","Literacy & Language","2005-03",8261.16,1924
"487","highest poverty","Literacy & Language","2005-03",65636.41,9495
"488","low poverty","Literacy & Language","2005-03",1825,19
"489","moderate poverty","Literacy & Language","2005-03",7019.03,673
"490","high poverty","Math & Science","2005-03",2343.74,605
"491","highest poverty","Math & Science","2005-03",35687.14,7011
"492","moderate poverty","Math & Science","2005-03",2471.87,1656
"493","high poverty","Music & The Arts","2005-03",7113.79,3520
"494","highest poverty","Music & The Arts","2005-03",32181.35,4007
"495","low poverty","Music & The Arts","2005-03",171.18,400
"496","moderate poverty","Music & The Arts","2005-03",237.8,230
"497","high poverty","Special Needs","2005-03",1538.54,128
"498","highest poverty","Special Needs","2005-03",9822.06,618
"499","moderate poverty","Special Needs","2005-03",387.4,56
"500","high poverty","Applied Learning","2005-04",2560.46,624
"501","highest poverty","Applied Learning","2005-04",24617.64,2295
"502","low poverty","Applied Learning","2005-04",324,60
"503","moderate poverty","Applied Learning","2005-04",157,34
"504","highest poverty","Health & Sports","2005-04",6617.23,853
"505","low poverty","Health & Sports","2005-04",458.18,32
"506","moderate poverty","Health & Sports","2005-04",258.3,40
"507","high poverty","History & Civics","2005-04",1104.95,75
"508","highest poverty","History & Civics","2005-04",20821.79,2355
